statement,id,name,constituency_id,constituency,party_id,party,start_date,end_date,term
Q4766625-2C2DC1CD-B50C-4292-A4AD-1DCF36F4D0C9,Q4766625,Ann Phelan,Q3913273,Carlow–Kilkenny,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q4768330-9F9669E3-3C25-4069-A785-60A5E5BB7141,Q4768330,Anne Ferris,Q2380581,Wicklow,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q4778602-95776B1B-7D35-4A5D-8CF0-AE4906EE1558,Q4778602,Aodhán Ó Ríordáin,Q2913560,Dublin North–Central,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q4800340-1A44A87F-C308-4FB9-B61B-694BBE94CAA3,Q4800340,Arthur Spring,Q6394603,Kerry North–West Limerick,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q4864133-03B7A1BF-BB0C-48C5-8603-B3BC22683334,Q4864133,Barry Cowen,Q7079018,Offaly,Q216517,Fianna Fáil,2016-03-10,"",32
Q4864133-DF8F210E-EDB8-4728-B9A3-56F726753060,Q4864133,Barry Cowen,Q6487896,Laois–Offaly,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q4961087-CF43997B-3740-4010-B02F-C00A0BCD351B,Q4961087,Brendan Ryan,Q20620587,Dublin Fingal,Q503614,Labour Party,2016-03-10,"",32
Q4961087-B2930CCA-03D2-4302-A17A-3991D785262D,Q4961087,Brendan Ryan,Q5310945,Dublin North,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q4963985-8C923D28-7852-4988-AAE4-98B470C1AC5F,Q4963985,Brian Hayes,Q5310971,Dublin South–West,Q247135,Fine Gael,2011-03-09,2014-05-26,31
Q4965374-96A790E2-2EAF-4661-BB4D-156B90D1D41E,Q4965374,Brian Stanley,Q6487881,Laois,Q76382,Sinn Féin,2016-03-10,"",32
Q4965374-138E11E5-A5E7-42C4-9601-218BCB5C0F3D,Q4965374,Brian Stanley,Q6487896,Laois–Offaly,Q76382,Sinn Féin,2011-03-09,2016-02-03,31
Q5034361-B7561307-19B1-4AA5-9ECA-8A5AF85D53F6,Q5034361,Caoimhghín Ó Caoláin,Q2701743,Cavan–Monaghan,Q76382,Sinn Féin,2016-03-10,"",32
Q5034361-259BED1D-719C-415A-93DF-3431F54622C3,Q5034361,Caoimhghín Ó Caoláin,Q2701743,Cavan–Monaghan,Q76382,Sinn Féin,2011-03-09,2016-02-03,31
Q5052598-83D3B670-AA59-496D-BB87-2CD49D278C0B,Q5052598,Catherine Connolly,Q2251639,Galway West,Q327591,independent politician,2016-03-10,"",32
Q5052836-DCD39463-57D8-4BC5-85E9-DC6B204FB091,Q5052836,Catherine Murphy,Q6406731,Kildare North,Q20682633,Social Democrats,2016-03-10,"",32
Q5052836-498FFB33-05E9-493F-AA87-44FD1F61F245,Q5052836,Catherine Murphy,Q6406731,Kildare North,Q327591,independent politician,2011-03-09,2015-07-15,31
Q5052836-84ab1170-48c5-1187-2404-449e1db9682a,Q5052836,Catherine Murphy,Q6406731,Kildare North,Q20682633,Social Democrats,2015-07-15,2016-02-03,31
Q5085220-E28D3EB0-9CF2-4B6F-8A95-877E432415AC,Q5085220,Charlie McConalogue,Q5295599,Donegal,Q216517,Fianna Fáil,2016-03-10,"",32
Q5085220-4F68E90E-5196-4D47-983D-12A052DA3461,Q5085220,Charlie McConalogue,Q2566127,Donegal North–East,Q216517,Fianna Fáil,2011-03-09,2016-02-03,31
Q5119115-007D2FB5-FBB1-42D6-8552-8E03B886A853,Q5119115,Ciara Conway,Q2109423,Waterford,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q5119177-5F074FF9-BF9E-412B-BBC3-F9F5C5EBED6A,Q5119177,Ciarán Lynch,Q2635304,Cork South–Central,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q5147686-DF47BB7F-7A0F-477A-BCAD-49C68D36F839,Q5147686,Colm Keaveney,Q4568022,Galway East,Q503614,Labour Party,2011-03-09,2012-12-13,31
Q5147686-1800f925-44e2-1f2b-2b9e-0498c2d61689,Q5147686,Colm Keaveney,Q4568022,Galway East,Q327591,independent politician,2012-12-13,2013-12-03,31
Q5147686-7839fe4d-4e5e-cbe9-db93-f8c5be4cf7db,Q5147686,Colm Keaveney,Q4568022,Galway East,Q216517,Fianna Fáil,2013-12-03,2016-02-03,31
Q5221987-AD018BB8-67F6-4120-9EA4-F056F4A3EED6,Q5221987,Dara Murphy,Q2357143,Cork North–Central,Q247135,Fine Gael,2016-03-10,"",32
Q5221987-87532CCA-7EC6-4DA0-9021-F8D9017C48E8,Q5221987,Dara Murphy,Q2357143,Cork North–Central,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q5232711-746BEE3C-3710-4823-AF52-7DD1741EC944,Q5232711,David Cullinane,Q2109423,Waterford,Q76382,Sinn Féin,2016-03-10,"",32
Q5262098-52F4772F-8663-4D07-8063-CB7291D62855,Q5262098,Derek Keating,Q2641881,Dublin Mid–West,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q5262229-C3B97075-25A6-45D6-9F0D-8DC95C9FE172,Q5262229,Derek Nolan,Q2251639,Galway West,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q5265060-5AD29F9C-E844-4609-B57C-CD3B32EB9674,Q5265060,Dessie Ellis,Q2531985,Dublin North–West,Q76382,Sinn Féin,2016-03-10,"",32
Q5265060-FD354ECB-8D98-4919-8089-452D64225D7C,Q5265060,Dessie Ellis,Q2531985,Dublin North–West,Q76382,Sinn Féin,2011-03-09,2016-02-01,31
Q5277023-F7BE1DCF-F90A-4E67-83D1-401B1D3392CE,Q5277023,Willie Penrose,Q6673850,Longford–Westmeath,Q503614,Labour Party,2016-03-10,"",32
Q5277023-087E3054-710D-431B-9127-B4FCECAB9B04,Q5277023,Willie Penrose,Q6673850,Longford–Westmeath,Q503614,Labour Party,2011-03-09,2011-11-15,31
Q5277023-5a2829cd-4633-e587-ee7f-28239bc47514,Q5277023,Willie Penrose,Q6673850,Longford–Westmeath,Q327591,independent politician,2011-11-15,2013-10-07,31
Q5277023-52746eec-4cc6-2b3f-4b60-a3890dd3baba,Q5277023,Willie Penrose,Q6673850,Longford–Westmeath,Q503614,Labour Party,2013-10-07,2016-03-03,31
Q529364-d162cca8-49e2-8b6d-bdf5-6311717c1eb9,Q529364,Alan Shatter,Q4429557,Dublin South,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q5325539-B98A88FD-6C6C-43D3-9E39-6948FD50B38C,Q5325539,Eamon Scanlon,Q54932109,Sligo–Leitrim,Q216517,Fianna Fáil,2016-03-10,"",32
Q5325575-73B80FCE-1209-49EF-ABC1-251F99924697,Q5325575,Eamonn Maloney,Q5310971,Dublin South–West,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q5381683-B7DDF985-81E6-4BDA-B587-3F7884210D44,Q5381683,Eoghan Murphy,Q5310822,Dublin Bay South,Q247135,Fine Gael,2016-03-10,"",32
Q5381683-EB54E560-5060-43F4-B718-E363E56F0FB7,Q5381683,Eoghan Murphy,Q5310970,Dublin South–East,Q247135,Fine Gael,2011-03-09,2016-02-03,31
Q5381749-5234BD14-4369-48ED-AE92-0E9E39076215,Q5381749,Eoin Ó Broin,Q2641881,Dublin Mid–West,Q76382,Sinn Féin,2016-03-10,"",32
Q5386225-6207DE8B-5159-4EE4-9818-9F64BA98865A,Q5386225,Eric Byrne,Q5310969,Dublin South–Central,Q503614,Labour Party,2011-03-09,2016-02-03,31
Q540812-DAA75A08-DB64-4B04-9988-37B46567B73A,Q540812,Frances Fitzgerald,Q2641881,Dublin Mid–West,Q247135,Fine Gael,2011-03-09,2016-02-03,31
