id,position,label,description,start_date,term,end_date,replaces,replaced_by,constituency,election
Q5984142,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5992495,Q18067639,member of the Chamber of Deputies of Chile,"",1998-03-11,,1999-09-27,Ramón Elizalde,María Rozas,,
Q5993820,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5994240,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5995504,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5995504,Q27149969,Minister of Education of Chile,"",2018-08-09,,,Gerardo Varela,,,
Q5995504,Q55718067,,"",2018-03-11,,2018-08-09,Marcelo Mena,Carolina Schmidt,,
Q5995515,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5995537,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q5995795,Q18067639,member of the Chamber of Deputies of Chile,"",2018-03-11,55th legislature of the National Congress of Chile,,,,District 7,
Q5995795,Q55718069,,"",2015-05-11,,2016-11-18,Álvaro Elizalde,Paula Narváez,,
Q5995801,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5996242,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5997406,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5998513,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5998739,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q5999127,Q18067639,member of the Chamber of Deputies of Chile,"",2006-03-11,52nd legislature of the National Congress of Chile,2018-03-11,,,,
Q5999127,Q18067639,member of the Chamber of Deputies of Chile,"",2018-03-11,55th legislature of the National Congress of Chile,,,,District 22,
Q5999127,Q721462,Malleco Province,province of Chile,2000-12-29,,2004-12-15,,,,
Q5999370,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6003380,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6004050,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q6004266,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6004540,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6004763,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6006757,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q6007422,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6017827,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6039721,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6039721,Q18882653,member of the Senate of Chile,"","",,,,,,
Q6043209,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q6048653,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6056002,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6056154,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q6066731,Q18067639,member of the Chamber of Deputies of Chile,"","",55th legislature of the National Congress of Chile,,,,,
Q6066803,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6066812,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6068190,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6068190,Q18882653,member of the Senate of Chile,"","",,,,,,
Q6069581,Q18067639,member of the Chamber of Deputies of Chile,"","",,,,,,
Q6069581,Q18882653,member of the Senate of Chile,"","",,,,,,
