id,name,position,start_date,end_date,type
a27243e8-2489-44a1-b979-e58fee060f83,Svenn Thorkild Stray,Foreign Minister of Norway,1970-05-22,1971-03-17,cabinet
a27243e8-2489-44a1-b979-e58fee060f83,Svenn Thorkild Stray,Foreign Minister of Norway,1981-10-14,1986-05-09,cabinet
7dbd74fa-2d1a-4768-af85-4647022cc445,Solveig Horne,"Minister of Children, Equality and Social Inclusion",2013-10-16,2018-01-17,cabinet
300640f4-1ec0-497d-a72e-35ba891d941d,Rakel Seweriin,Social Minister,1953-11-02,1955-08-01,cabinet
177bdc3a-4d04-4f83-a951-97f7b451c7e1,Børge Brende,Foreign Minister of Norway,2013-10-16,2017-10-20,cabinet
177bdc3a-4d04-4f83-a951-97f7b451c7e1,Børge Brende,Minister of Climate and the Environment,2001-10-19,2004-06-18,cabinet
177bdc3a-4d04-4f83-a951-97f7b451c7e1,Børge Brende,Minister of Trade and Industry,2004-06-18,2005-10-17,cabinet
638313f5-f65c-4975-8880-390ecc70b70d,Oddrunn Pettersen,Minister of Fisheries,1990-11-03,1992-09-04,cabinet
777424bb-e85c-4b4e-92ee-af2dd166ea71,Ranveig Frøiland,Minister of Petroleum and Energy,1996-12-18,1997-10-17,cabinet
555303b4-0432-4b2c-88a4-73c6180211fd,Sylvi Listhaug,Minister of Agriculture and Food (Norway),2013-10-16,2015-12-16,cabinet
555303b4-0432-4b2c-88a4-73c6180211fd,Sylvi Listhaug,Minister of Justice and Public Security,2018-01-17,2018-03-20,cabinet
91c6e0c4-0bcf-47bd-9e94-fd8b02cc476b,Tore Austad,Minister of Education and Church Affairs,1981-10-14,1983-06-08,cabinet
